Phylum	Class	Order	Family	Genus	Species	Baltimore	Baltimore Group
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Agtrevirus	Salmonella virus SKML39	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Agtrevirus	Shigella virus AG3	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Limestonevirus	Dickeya virus Limestone	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Limestonevirus	Dickeya virus RC2014	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Escherichia virus CBA120	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Escherichia virus PhaxI	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Salmonella virus 38	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Salmonella virus Det7	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Salmonella virus GG32	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Salmonella virus PM10	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Salmonella virus SFP10	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Salmonella virus SH19	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Kuttervirus	Salmonella virus SJ3	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Taipeivirus	Escherichia virus KWBSE43-6	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Taipeivirus	Klebsiella virus 0507KN21	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Taipeivirus	Klebsiella virus KpS110	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Taipeivirus	Klebsiella virus May	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Taipeivirus	Klebsiella virus Menlow	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Taipeivirus	Serratia virus IME250	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae		Erwinia virus Ea2809	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae		Serratia virus MAM1	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Bovine atadenovirus D	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Deer atadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Duck atadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Lizard atadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Ovine atadenovirus D	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Possum atadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Psittacine atadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Snake atadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Duck aviadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Falcon aviadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus D	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus E	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Goose aviadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Pigeon aviadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Pigeon aviadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Psittacine aviadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Psittacine aviadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Turkey aviadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Turkey aviadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Turkey aviadenovirus D	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Ichtadenovirus	Sturgeon ichtadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus D	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus E	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus F	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus G	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus H	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus I	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bat mastadenovirus J	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bovine mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bovine mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Bovine mastadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Canine mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Deer mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Dolphin mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Dolphin mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Equine mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Equine mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus E	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus G	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Murine mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Murine mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Murine mastadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Ovine mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Ovine mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Ovine mastadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Platyrrhini mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Polar bear mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Porcine mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Porcine mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Porcine mastadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Sea lion mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus B	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus C	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus D	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus E	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus F	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus G	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus H	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Simian mastadenovirus I	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Skunk mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Squirrel mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Tree shrew mastadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Frog siadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Great tit siadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Penguin siadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Raptor siadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Skua siadenovirus A	dsDNA	I
Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Turkey siadenovirus A	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Batrachovirus	Ranid herpesvirus 1	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Batrachovirus	Ranid herpesvirus 2	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Batrachovirus	Ranid herpesvirus 3	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Cyprinivirus	Anguillid herpesvirus 1	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 1	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 2	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Cyprinivirus	Cyprinid herpesvirus 3	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Ictalurivirus	Acipenserid herpesvirus 2	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Ictalurivirus	Ictalurid herpesvirus 1	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Ictalurivirus	Ictalurid herpesvirus 2	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Salmonivirus	Salmonid herpesvirus 1	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Salmonivirus	Salmonid herpesvirus 2	dsDNA	I
Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Salmonivirus	Salmonid herpesvirus 3	dsDNA	I
			Ampullaviridae	Ampullavirus	Acidianus bottle-shaped virus	dsDNA	I
Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Ascovirus	Heliothis virescens ascovirus 3a	dsDNA	I
Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Ascovirus	Spodoptera frugiperda ascovirus 1a	dsDNA	I
Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Ascovirus	Trichoplusia ni ascovirus 2a	dsDNA	I
Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Toursvirus	Diadromus pulchellus toursvirus	dsDNA	I
Nucleocytoviricota	Pokkesviricetes	Asfuvirales	Asfarviridae	Asfivirus	African swine fever virus	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Daemvirus	Acinetobacter virus Acibel007	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus AB3	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus AbKT21III	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus Abp1	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus Aci07	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus Aci08	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus AS11	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus AS12	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus Fri1	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus IME200	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus PD6A3	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus PDAB9	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus phiAB1	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus SH-Ab 15519	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus SWHAb1	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus SWHAb3	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus WCHABP5	dsDNA	I
Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acintetobacter virus B1	dsDNA	I
